Category,Level1,Level3,Level2,Level4,Year,Total
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",101. Администрация Президента Республики Казахстан,1. Услуги по обеспечению деятельности Главы государства,2012,2963,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",101. Администрация Президента Республики Казахстан,2. Услуги по прогнозно-аналитическому обеспечению стратегических аспектов внутренней и внешней политики государства,2012,193,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",101. Администрация Президента Республики Казахстан,"3. Услуги по обеспечению сохранности архивного фонда, печатных изданий и их специальному использованию",2012,205,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",101. Администрация Президента Республики Казахстан,5. Капитальные расходы подведомственных учреждений,2012,45,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",101. Администрация Президента Республики Казахстан,109. Проведение мероприятий за счет резерва Правительства Республики Казахстан на неотложные затраты,2012,19,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",102. Хозяйственное управление Парламента Республики Казахстан,1. Услуги по обеспечению деятельности Парламента Республики Казахстан,2012,9721,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",102. Хозяйственное управление Парламента Республики Казахстан,101. Проведение мероприятий за счет средств на представительские затраты,2012,277,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",104. Канцелярия Премьер-Министра Республики Казахстан,1. Услуги по обеспечению деятельности Премьер-Министра Республики Казахстан,2012,1700,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",104. Канцелярия Премьер-Министра Республики Казахстан,11. Обеспечение деятельности Назарбаев центра,2012,461,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",104. Канцелярия Премьер-Министра Республики Казахстан,109. Проведение мероприятий за счет резерва Правительства Республики Казахстан на неотложные затраты,2012,726,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",106. Национальный центр по правам человека,1. Услуги по наблюдению за соблюдением прав и свобод человека и гражданина,2012,65,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",106. Национальный центр по правам человека,2. Капитальные расходы Национального центра по правам человека,2012,0.4,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",637. Конституционный Совет Республики Казахстан,1. Обеспечение верховенства Конституции Республики Казахстан на территории республики,2012,275,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",637. Конституционный Совет Республики Казахстан,2. Капитальные расходы Конституционного Совета Республики Казахстан,2012,4,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",637. Конституционный Совет Республики Казахстан,101. Проведение мероприятий за счет средств на представительские затраты,2012,55,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",690. Центральная избирательная комиссия Республики Казахстан,1. Организация проведения выборов,2012,464,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",690. Центральная избирательная комиссия Республики Казахстан,2. Проведение выборов,2012,4381,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",690. Центральная избирательная комиссия Республики Казахстан,3. Капитальные расходы Центральной избирательной комиссии Республики Казахстан,2012,7,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",694. Управление делами Президента Республики Казахстан,"1. Услуги по обеспечению деятельности Главы государства, Премьер-Министра и других должностных лиц государственных органов",2012,17292,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",694. Управление делами Президента Республики Казахстан,9. Обновление парка автомашин для государственных органов,2012,437,
